Index,sexe,age,arrondissement,bureau,visite_score,communication,satisfait_score,la foule,Manque des employé,mauvaise maniere Traitement,les_horaires,jourFoule,bureauAvis,amileoration
93,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,non,2,oui,non,non,entre 9 et 11,lundi,Rien,Pas mal malgré le manque de respect et negligence des personnel
94,Femme,entre 18 et 25ans,ZOUGHA,BENSOUDA,des fois par année,non,3,non,non,oui,entre 11 et 1,mercredi,embaucher des employé plus compétent  ,pas mal
95,Homme,entre 25 et 35,JNAN EL WARD,LOUIZAT,rarement,oui,0,oui,oui,oui,entre 11 et 1,lundi,Augmentation du nombre d'employés et digitalisation de la gestion,En mauvais état
96,Femme,entre 18 et 25ans,AGDAL,ADARISSABATHA,rarement,non,1,non,oui,oui,entre 9 et 11,jeudi,G,G
97,Femme,moins de 18ans,AGDAL,TARIKBOUANANIA,rarement,oui,2,non,oui,oui,entre 9 et 11,lundi,Je ne sais pass,Pas mal
98,Homme,entre 18 et 25ans,FES-MEDINA,BATHA,des fois par année,non,0,oui,non,oui,entre 9 et 11,vendredi,idk,idk
99,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,des fois par année,oui,4,non,non,oui,entre 9 et 11,lundi,Il faut embaucher et mettre en place des employes de plus pour faciliter la tache à eux et aux citoyens ,Nul
100,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,non,1,oui,oui,oui,entre 9 et 11,lundi,Les tentatives de surveillance pour recevoir des pots de vin,je pense que il est mieux que les autres bureau j'ai deja visite
101,Homme,entre 18 et 25ans,SAISS,ZOUHOUR,des fois par année,non,0,non,oui,oui,entre 11 et 1,mercredi,..... ,Sous-standard 
102,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,non,3,non,non,oui,entre 9 et 11,lundi,Néant ,Néant 
103,Femme,entre 18 et 25ans,SAISS,ZOUHOUR,rarement,non,0,non,non,oui,entre 9 et 11,mercredi,"Employer plus, development de locaux
",Mal
104,Homme,entre 25 et 35,JNAN EL WARD,JNANAT,des fois par année,oui,3,non,non,oui,entre 11 et 1,vendredi,Respecter et apprécier les conditions des citoyens, Moyenne dans la prestation de services
105,Homme,entre 18 et 25ans,FES-MEDINA,ANDALOUS,plusieurs fois par année,non,1,non,non,oui,entre 9 et 11,mercredi,Plus de bus pour réduire la congestion,Beau
